KKUPL01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,With Period Beginning Balance,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
1-04-04001-3201010400-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะวิศวกรรมศาสตร์-หน่วยงานภายใต้คณะวิศวกรรม-บัญชีทุนสำรองสะสม \- คณะวิ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,193310683.08,,0,193310683.08,,0,0,,0,0,0,,193310683.08,0,193310683.08
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010400.0,,,,0,,193310683.08,0.0,,193310683.08,0.0,,0,0.0,,0,0,,193310683.08,0,193310683.08
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201010500 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-05-05001-3201010500-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะศึกษาศาสตร์-หน่วยงานภายใต้คณะศึกษาศาส-บัญชีทุนสำรองสะสม \- คณะศึ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,306254643.67,,0,306254643.67,,0,0,,0,0,0,,306254643.67,0,306254643.67
,,,,,,,,,,,,,,,,,,,,,, 
1-43-C5030-3201010500-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะศึกษาศาสตร์ \- โรงเรียน-โรงเรียนสาธิตมหาวิทยาลัยข-บัญชีทุนสำรองสะสม \- คณะศึ-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,184277877.02,,0,184277877.02,,0,0,,0,0,0,,184277877.02,0,184277877.02
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010500.0,,,,0,,490532520.69000006,0.0,,490532520.69000006,0.0,,0,0.0,,0,0,,490532520.69000006,0,490532520.69000006
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201010600 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-06-06001-3201010600-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะพยาบาลศาสตร์-หน่วยงานภายใต้คณะพยาบาล-บัญชีทุนสำรองสะสม \- คณะพย-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,165005930.35,,0,165005930.35,,0,0,,0,0,0,,165005930.35,0,165005930.35
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201010600.0,,,,0,,165005930.35,0.0,,165005930.35,0.0,,0,0.0,,0,0,,165005930.35,0,165005930.35
,,,,,,,,,,,,,,,,,,,,,, 
